Date,California,Mexico,Chile,Dominican Republic,New Zealand,Peru,Total Volume in Pounds
Jan-04-2015,164520,29719045,718677,740000,270000,0,31612242
Jan-11-2015,928302,50455653,811149,870000,0,0,53065104
Jan-18-2015,2169628,50940292,1025090,1090000,0,0,55225010
Jan-25-2015,4229894,38183291,481359,2260000,0,0,45154544
Feb-01-2015,3232783,29998307,853528,1350000,0,0,35434618
Feb-08-2015,2263549,24143302,714441,1810000,0,0,28931292
Feb-15-2015,3234872,32153978,496789,1770000,0,0,37655639
Feb-22-2015,3381938,37739189,533213,1330000,0,0,42984340
Mar-01-2015,4753809,39494118,494838,1430000,0,0,46172765
Mar-08-2015,5751861,35083527,352862,1140000,0,0,42328250
Mar-15-2015,8946741,32480272,220941,1830000,0,0,43477954
Mar-22-2015,10213402,27119388,220898,1280000,0,0,38833688
Mar-29-2015,11400096,36539143,224949,430000,0,0,48594188
Apr-05-2015,11172187,20240912,183176,40000,0,0,31636275
Apr-12-2015,11922665,32673922,183176,0,0,0,44779763
Apr-19-2015,12861987,34122110,94815,0,0,0,47078912
Apr-26-2015,12586190,33029389,94815,0,0,0,45710394
May-03-2015,12660117,27057120,94815,0,0,0,39812052
May-10-2015,10762392,33366562,94815,0,0,94618,44318387
May-17-2015,9954767,36426707,0,0,0,1182720,47564194
May-24-2015,12394413,28347808,0,0,0,3122381,43864602
May-31-2015,9313378,27695765,0,0,0,4683572,41692715
Jun-07-2015,10457049,24789007,0,0,0,5440512,40686568
Jun-14-2015,8317935,28114043,0,0,0,8279040,44711018
Jun-21-2015,8931594,27009274,0,40000,0,9934848,45915716
Jun-28-2015,9369909,25941498,0,0,0,9650995,44962402
Jul-05-2015,7412234,20230340,0,40000,0,9650996,37333570
Jul-12-2015,8537692,31263056,0,80000,0,8941364,48822112
Jul-19-2015,8576108,34059457,0,80000,0,7995187,50710752
Jul-26-2015,7255327,27909164,0,40000,0,8988672,44193163
Aug-02-2015,7684598,27779236,0,40000,0,8137114,43640948
Aug-09-2015,6451491,27017346,0,40000,0,6954394,40463231
Aug-16-2015,5672659,32592652,0,30000,0,5440512,43735823
Aug-23-2015,3797588,32686646,94815,0,0,3406233,39985282
Aug-30-2015,2210080,33152309,0,0,0,1797734,37160123
Sep-06-2015,1511472,36700758,94813,0,0,1371956,39678999
Sep-13-2015,1119131,41455101,221205,0,0,236544,43031981
Sep-20-2015,543476,35166952,229576,0,0,567706,36507710
Sep-27-2015,287410,44108685,581811,0,0,283853,45261759
Oct-04-2015,104076,45360745,726951,0,0,47309,46239081
Oct-11-2015,0,44342583,860845,0,0,0,45203428
Oct-18-2015,0,40286700,866405,0,0,0,41153105
Oct-25-2015,0,35352102,945882,80000,0,0,36377984
Nov-01-2015,0,27934357,770551,120000,0,0,28824908
Nov-08-2015,0,36315472,682925,80000,0,0,37078397
Nov-15-2015,0,52623793,636905,40000,0,0,53300698
Nov-22-2015,0,37647331,872309,90000,0,0,38609640
Nov-29-2015,0,38426840,835952,80000,0,0,39342792
Dec-06-2015,0,38799405,863332,170000,0,0,39832737
Dec-13-2015,0,38028476,1402393,0,0,0,39430869
Dec-20-2015,16150,39071757,1209371,40000,0,0,40337278
Dec-27-2015,22024,31609949,885813,60000,0,0,32577786
Total,262577494,1772784834,20676200,18520000,270000,106208260,2181036788
